id,pais,ciudad,region_geografica,servicio,metrica,spearman_rho,p_valor,significativo
6,México,Guadalajara,Occidente (Bajío),parque,closeness_c,-0.0842,0.0,True
6,México,Guadalajara,Occidente (Bajío),parque,degree_c,-0.0662,0.0,True
6,México,Guadalajara,Occidente (Bajío),policia,betweenness_c,-0.0618,0.0,True
6,México,Guadalajara,Occidente (Bajío),policia,closeness_c,-0.5015,0.0,True
6,México,Guadalajara,Occidente (Bajío),policia,degree_c,-0.0845,0.0,True
7,México,Aguascalientes,Centro-Bajío,bomberos,betweenness_c,-0.0533,0.0,True
7,México,Aguascalientes,Centro-Bajío,bomberos,closeness_c,-0.4367,0.0,True
7,México,Aguascalientes,Centro-Bajío,bomberos,degree_c,-0.063,0.0,True
7,México,Aguascalientes,Centro-Bajío,clinica,betweenness_c,-0.0761,0.0,True
7,México,Aguascalientes,Centro-Bajío,clinica,closeness_c,-0.397,0.0,True
7,México,Aguascalientes,Centro-Bajío,clinica,degree_c,-0.0762,0.0,True
7,México,Aguascalientes,Centro-Bajío,escuela,betweenness_c,-0.1345,0.0,True
7,México,Aguascalientes,Centro-Bajío,escuela,closeness_c,-0.3604,0.0,True
7,México,Aguascalientes,Centro-Bajío,escuela,degree_c,-0.1879,0.0,True
7,México,Aguascalientes,Centro-Bajío,farmacia,betweenness_c,-0.1252,0.0,True
7,México,Aguascalientes,Centro-Bajío,farmacia,closeness_c,-0.3714,0.0,True
7,México,Aguascalientes,Centro-Bajío,farmacia,degree_c,-0.1423,0.0,True
7,México,Aguascalientes,Centro-Bajío,hospital,betweenness_c,-0.1089,0.0,True
7,México,Aguascalientes,Centro-Bajío,hospital,closeness_c,-0.5599,0.0,True
7,México,Aguascalientes,Centro-Bajío,hospital,degree_c,-0.1044,0.0,True
7,México,Aguascalientes,Centro-Bajío,mercado,betweenness_c,-0.148,0.0,True
7,México,Aguascalientes,Centro-Bajío,mercado,closeness_c,-0.3151,0.0,True
7,México,Aguascalientes,Centro-Bajío,mercado,degree_c,-0.1381,0.0,True
7,México,Aguascalientes,Centro-Bajío,parque,betweenness_c,-0.1095,0.0,True
7,México,Aguascalientes,Centro-Bajío,parque,closeness_c,-0.3228,0.0,True
7,México,Aguascalientes,Centro-Bajío,parque,degree_c,-0.1243,0.0,True
7,México,Aguascalientes,Centro-Bajío,policia,betweenness_c,-0.0901,0.0,True
7,México,Aguascalientes,Centro-Bajío,policia,closeness_c,-0.4827,0.0,True
7,México,Aguascalientes,Centro-Bajío,policia,degree_c,-0.087,0.0,True
8,México,San Luis Potosí,Centro-Norte,bomberos,betweenness_c,-0.0739,0.0,True
8,México,San Luis Potosí,Centro-Norte,bomberos,closeness_c,-0.6404,0.0,True
8,México,San Luis Potosí,Centro-Norte,bomberos,degree_c,-0.0645,0.0,True
8,México,San Luis Potosí,Centro-Norte,clinica,betweenness_c,-0.1131,0.0,True
8,México,San Luis Potosí,Centro-Norte,clinica,closeness_c,-0.6427,0.0,True
8,México,San Luis Potosí,Centro-Norte,clinica,degree_c,-0.1314,0.0,True
8,México,San Luis Potosí,Centro-Norte,escuela,betweenness_c,-0.1115,0.0,True
8,México,San Luis Potosí,Centro-Norte,escuela,closeness_c,-0.2193,0.0,True
8,México,San Luis Potosí,Centro-Norte,escuela,degree_c,-0.1357,0.0,True
8,México,San Luis Potosí,Centro-Norte,farmacia,betweenness_c,-0.0953,0.0,True
8,México,San Luis Potosí,Centro-Norte,farmacia,closeness_c,-0.2659,0.0,True
8,México,San Luis Potosí,Centro-Norte,farmacia,degree_c,-0.1157,0.0,True
8,México,San Luis Potosí,Centro-Norte,hospital,betweenness_c,-0.0815,0.0,True
8,México,San Luis Potosí,Centro-Norte,hospital,closeness_c,-0.1384,0.0,True
8,México,San Luis Potosí,Centro-Norte,hospital,degree_c,-0.1086,0.0,True
8,México,San Luis Potosí,Centro-Norte,mercado,betweenness_c,-0.2022,0.0,True
8,México,San Luis Potosí,Centro-Norte,mercado,closeness_c,-0.0159,0.008608,True
8,México,San Luis Potosí,Centro-Norte,mercado,degree_c,-0.2622,0.0,True
8,México,San Luis Potosí,Centro-Norte,parque,betweenness_c,-0.0715,0.0,True
8,México,San Luis Potosí,Centro-Norte,parque,closeness_c,-0.1684,0.0,True
