id,pais,ciudad,region_geografica,servicio,n_pois,dist_mean,dist_median,dist_std,dist_p90,dist_cv,pct_acceso
20,Colombia,Santa Marta,Caribe,parque,76,720.59148,530.741,647.876427,1530.8956,0.8991,77.2
20,Colombia,Santa Marta,Caribe,policia,10,1682.725561,1630.151,915.098834,2858.0718,0.5438,27.44
20,Colombia,Santa Marta,Caribe,bomberos,1,4713.192083,4735.695,2223.421563,7953.3928,0.4717,3.68
21,Colombia,Montería,Caribe (interior),hospital,5,2188.570948,1965.121,1283.263636,3895.6988,0.5863,19.65
21,Colombia,Montería,Caribe (interior),clinica,32,1951.112745,1875.615,1236.916356,3474.5099,0.634,27.2
21,Colombia,Montería,Caribe (interior),farmacia,28,1092.145396,888.36,842.06833,2184.0424,0.771,56.72
21,Colombia,Montería,Caribe (interior),escuela,148,568.766907,371.2935,631.236349,1181.9563,1.1098,87.01
21,Colombia,Montería,Caribe (interior),mercado,1422,277.598333,119.661,500.273303,588.5176,1.8021,94.23
21,Colombia,Montería,Caribe (interior),parque,180,630.749852,435.9575,695.06632,1281.0744,1.102,86.1
21,Colombia,Montería,Caribe (interior),policia,16,1514.236981,1145.3895,1207.995028,3214.7811,0.7978,41.46
21,Colombia,Montería,Caribe (interior),bomberos,3,2737.135916,2652.363,1297.302942,4711.9218,0.474,7.09
22,Colombia,Valledupar,Caribe (interior),hospital,10,1388.197232,1272.079,856.669478,2214.6528,0.6171,31.4
22,Colombia,Valledupar,Caribe (interior),clinica,8,3018.3189,3051.348,1549.907252,4887.9489,0.5135,10.89
22,Colombia,Valledupar,Caribe (interior),farmacia,14,1644.439163,1395.8505,1178.38079,3241.9705,0.7166,36.12
22,Colombia,Valledupar,Caribe (interior),escuela,45,944.658364,780.837,782.860747,1794.9628,0.8287,64.99
22,Colombia,Valledupar,Caribe (interior),mercado,22,1202.506074,1005.99,891.954676,2340.4557,0.7417,49.58
22,Colombia,Valledupar,Caribe (interior),parque,71,823.311868,653.816,766.00088,1609.5772,0.9304,73.86
22,Colombia,Valledupar,Caribe (interior),policia,3,2837.55306,2685.612,1418.052257,4815.4778,0.4997,8.72
22,Colombia,Valledupar,Caribe (interior),bomberos,1,3115.205792,3062.519,1415.016934,4782.1289,0.4542,5.8
23,Colombia,Bucaramanga,Andina (nororiente),hospital,13,1698.334242,1305.286,1441.12386,3297.4665,0.8486,35.05
23,Colombia,Bucaramanga,Andina (nororiente),clinica,39,1767.687759,1307.4835,1543.263835,3794.6696,0.873,37.15
23,Colombia,Bucaramanga,Andina (nororiente),farmacia,53,1300.882961,896.071,1409.793526,2558.0446,1.0837,54.63
23,Colombia,Bucaramanga,Andina (nororiente),escuela,415,434.986073,239.2815,665.699488,876.8078,1.5304,91.29
23,Colombia,Bucaramanga,Andina (nororiente),mercado,117,845.887878,529.5385,954.121044,1910.7909,1.128,71.98
23,Colombia,Bucaramanga,Andina (nororiente),parque,391,479.302043,264.7295,796.03559,1003.8934,1.6608,89.96
23,Colombia,Bucaramanga,Andina (nororiente),policia,29,1196.649941,857.485,1207.265535,2344.7206,1.0089,57.49
23,Colombia,Bucaramanga,Andina (nororiente),bomberos,3,2313.897497,2008.5515,1497.205194,4029.6416,0.647,13.24
24,Colombia,Medellín,Andina (noroccidente),hospital,67,1060.696839,861.551,795.229736,2094.3072,0.7497,58.46
24,Colombia,Medellín,Andina (noroccidente),clinica,135,962.452271,718.892,835.753721,2087.2918,0.8684,66.64
24,Colombia,Medellín,Andina (noroccidente),farmacia,240,658.750011,507.991,580.380983,1404.362,0.881,81.56
24,Colombia,Medellín,Andina (noroccidente),escuela,784,329.888316,270.317,252.514137,653.381,0.7655,98.12
24,Colombia,Medellín,Andina (noroccidente),mercado,739,438.475185,347.969,393.56969,869.794,0.8976,93.58
24,Colombia,Medellín,Andina (noroccidente),parque,807,376.556873,289.738,343.513812,753.01,0.9122,95.26
24,Colombia,Medellín,Andina (noroccidente),policia,38,1182.424283,1014.896,752.339873,2173.23,0.6363,48.98
24,Colombia,Medellín,Andina (noroccidente),bomberos,7,2264.343307,2097.506,1171.92833,3766.447,0.5176,11.95
25,Colombia,Bogotá,Andina (centro),hospital,60,1179.360402,995.155,809.080689,2338.9152,0.686,50.28
25,Colombia,Bogotá,Andina (centro),clinica,172,789.541351,708.555,507.148351,1452.007,0.6423,71.39
25,Colombia,Bogotá,Andina (centro),farmacia,691,365.005387,289.67,342.220538,741.0446,0.9376,96.2
25,Colombia,Bogotá,Andina (centro),escuela,488,430.601145,369.084,333.78952,807.9402,0.7752,95.49
25,Colombia,Bogotá,Andina (centro),mercado,1414,286.828226,225.439,299.157312,581.5882,1.043,98.34
25,Colombia,Bogotá,Andina (centro),parque,1523,232.235607,201.607,178.011878,437.8736,0.7665,99.64
25,Colombia,Bogotá,Andina (centro),policia,47,970.833025,893.176,545.107067,1665.097,0.5615,58.12
25,Colombia,Bogotá,Andina (centro),bomberos,5,3305.513058,3105.578,1731.549653,5718.7974,0.5238,8.11
26,Colombia,Tunja,Andina (centro),hospital,20,1396.038315,971.68,1362.831577,3209.1972,0.9762,51.67
26,Colombia,Tunja,Andina (centro),clinica,6,1958.832206,1490.125,1600.154227,4285.9324,0.8169,30.22
26,Colombia,Tunja,Andina (centro),farmacia,12,1605.242696,1044.812,1501.037775,3707.1992,0.9351,48.21
26,Colombia,Tunja,Andina (centro),escuela,67,914.58971,605.854,985.558346,1944.7306,1.0776,70.41
26,Colombia,Tunja,Andina (centro),mercado,61,1006.552198,543.164,1272.750354,2741.5722,1.2645,76.2
26,Colombia,Tunja,Andina (centro),parque,302,658.390226,295.654,1056.353362,1735.837,1.6044,84.23
26,Colombia,Tunja,Andina (centro),policia,8,1554.370638,1263.98,1263.304547,3097.6254,0.8127,36.21
26,Colombia,Tunja,Andina (centro),bomberos,2,2457.97298,2078.969,1561.752364,4616.982,0.6354,9.02
27,Colombia,Manizales,Andina (Eje Cafetero),hospital,17,1518.984876,1280.51,1180.521855,3137.953,0.7772,39.47
27,Colombia,Manizales,Andina (Eje Cafetero),clinica,24,1602.696841,1097.181,1533.868395,3821.4922,0.9571,44.24
27,Colombia,Manizales,Andina (Eje Cafetero),farmacia,29,1397.281613,1057.29,1254.665912,2923.5822,0.8979,47.89
27,Colombia,Manizales,Andina (Eje Cafetero),escuela,84,794.295117,482.936,1001.944266,1693.3984,1.2614,80.81
27,Colombia,Manizales,Andina (Eje Cafetero),mercado,113,884.15634,470.922,1144.652177,2186.2854,1.2946,76.28
27,Colombia,Manizales,Andina (Eje Cafetero),parque,278,573.538229,295.134,816.072065,1434.9868,1.4229,85.4
27,Colombia,Manizales,Andina (Eje Cafetero),policia,15,1437.838813,974.376,1337.212984,3421.4126,0.93,51.15
27,Colombia,Manizales,Andina (Eje Cafetero),bomberos,3,2277.565216,1920.905,1601.298865,4405.8558,0.7031,19.03
28,Colombia,Pereira,Andina (Eje Cafetero),hospital,17,1674.806766,1362.727,1273.51567,3155.4922,0.7604,34.51
28,Colombia,Pereira,Andina (Eje Cafetero),clinica,32,1670.074042,1353.386,1278.731229,3316.4282,0.7657,36.13
28,Colombia,Pereira,Andina (Eje Cafetero),farmacia,33,1453.92424,1085.428,1153.721568,3101.8804,0.7935,46.7
28,Colombia,Pereira,Andina (Eje Cafetero),escuela,85,898.273157,660.163,821.152541,1884.758,0.9141,69.86
28,Colombia,Pereira,Andina (Eje Cafetero),mercado,148,825.035678,577.99,825.819605,1855.2496,1.001,74.48
28,Colombia,Pereira,Andina (Eje Cafetero),parque,92,962.520204,607.833,1095.689856,2110.1158,1.1384,69.54
28,Colombia,Pereira,Andina (Eje Cafetero),policia,14,1567.033986,1313.546,1112.055894,2842.7702,0.7097,34.29
28,Colombia,Pereira,Andina (Eje Cafetero),bomberos,5,2502.726599,2198.0,1595.760116,4254.0146,0.6376,13.98
29,Colombia,Cali,Andina/Pacífico (suroccidente),hospital,327,453.697578,384.497,380.910157,799.9376,0.8396,94.53
29,Colombia,Cali,Andina/Pacífico (suroccidente),clinica,457,620.076579,454.581,699.673114,1177.9042,1.1284,86.49
29,Colombia,Cali,Andina/Pacífico (suroccidente),farmacia,129,733.36649,592.967,705.437031,1279.9436,0.9619,79.7
29,Colombia,Cali,Andina/Pacífico (suroccidente),escuela,189,542.869349,458.305,398.165464,994.2326,0.7334,90.16
29,Colombia,Cali,Andina/Pacífico (suroccidente),mercado,193,565.564915,453.559,558.541702,1019.8352,0.9876,89.45
29,Colombia,Cali,Andina/Pacífico (suroccidente),parque,227,538.907542,425.159,460.057944,1043.575,0.8537,88.82
29,Colombia,Cali,Andina/Pacífico (suroccidente),policia,32,1058.407,912.111,691.162977,1989.9342,0.653,57.48
29,Colombia,Cali,Andina/Pacífico (suroccidente),bomberos,8,1853.964342,1730.747,957.446383,3141.718,0.5164,18.01
30,Colombia,Pasto,Andina (sur),hospital,26,1407.011805,944.6385,1306.864998,3333.8635,0.9288,52.68
30,Colombia,Pasto,Andina (sur),clinica,12,2165.806835,1788.745,1573.823016,4612.676,0.7267,24.08
30,Colombia,Pasto,Andina (sur),farmacia,34,1460.586745,868.46,1450.39473,3743.914,0.993,55.05
30,Colombia,Pasto,Andina (sur),escuela,232,536.495526,313.892,686.777664,1245.629,1.2801,87.13
30,Colombia,Pasto,Andina (sur),mercado,79,1206.203879,651.914,1332.804853,3323.6175,1.105,65.71
30,Colombia,Pasto,Andina (sur),parque,205,734.909341,339.4595,1005.947257,2296.6945,1.3688,80.83
30,Colombia,Pasto,Andina (sur),policia,26,1216.199077,767.48,1231.932334,3014.3235,1.0129,63.93
30,Colombia,Pasto,Andina (sur),bomberos,3,2208.153986,1750.7695,1539.649945,4533.681,0.6973,18.83
31,Colombia,Villavicencio,Orinoquía / Llanos (oriente),hospital,9,3024.038164,2717.022,1955.338254,6178.8974,0.6466,16.7
